"time","value","event1","event2"
2016-04-19 20:00:00,1939930800,"0","0"
2016-04-19 21:00:00,2061979027,"0","0"
2016-04-19 22:00:00,1796903864,"0","0"
2016-04-19 23:00:00,1974430487,"0","0"
2016-04-20 00:00:00,1656405724,"0","0"
2016-04-20 01:00:00,1492868891,"0","0"
2016-04-20 02:00:00,1406136667,"0","0"
2016-04-20 03:00:00,1320548847,"0","0"
2016-04-20 04:00:00,1108576674,"0","0"
2016-04-20 05:00:00,3700858,"0","1"
2016-04-20 06:00:00,0,"0","2"
2016-04-20 07:00:00,0,"0","3"
2016-04-20 08:00:00,4075977,"0","2"
2016-04-20 09:00:00,433481397,"0","5"
2016-04-20 10:00:00,1002320570,"0","6"
2016-04-20 11:00:00,1296841853,"0","0"
2016-04-20 12:00:00,1358794990,"0","0"
2016-04-20 13:00:00,1392088966,"0","0"
2016-04-20 14:00:00,1449637805,"0","0"
2016-04-20 15:00:00,1533555885,"0","0"
2016-04-20 16:00:00,1542538291,"0","0"
2016-04-20 17:00:00,1495393640,"0","0"
2016-04-20 18:00:00,1564767451,"0","0"
2016-04-20 19:00:00,1690592124,"0","0"
2016-04-20 20:00:00,1778076544,"0","0"
2016-04-20 21:00:00,1870624430,"0","0"
2016-04-20 22:00:00,1697312147,"0","0"
2016-04-20 23:00:00,1929499235,"0","0"
2016-04-21 00:00:00,1668972783,"0","0"
2016-04-21 01:00:00,1525868847,"0","0"
2016-04-21 02:00:00,1420946376,"0","0"
2016-04-21 03:00:00,1327952347,"0","0"
2016-04-21 04:00:00,1198139384,"0","0"
2016-04-21 05:00:00,1115276631,"0","0"
2016-04-21 06:00:00,1137833034,"0","0"
2016-04-21 07:00:00,1199972298,"0","0"
2016-04-21 08:00:00,1202334000,"0","0"
2016-04-21 09:00:00,1261257939,"0","0"
2016-04-21 10:00:00,1514869017,"0","0"
2016-04-21 11:00:00,1539317172,"0","0"
2016-04-21 12:00:00,1555835062,"0","0"
2016-04-21 13:00:00,1501263211,"0","0"
2016-04-21 14:00:00,1571731874,"0","0"
2016-04-21 15:00:00,1651564594,"0","0"
2016-04-21 16:00:00,1664783804,"0","0"
2016-04-21 17:00:00,1617304142,"0","0"
2016-04-21 18:00:00,1672393347,"0","0"
2016-04-21 19:00:00,1753222125,"0","0"
2016-04-21 20:00:00,1811361577,"0","0"
2016-04-21 21:00:00,1904586982,"0","0"
2016-04-21 22:00:00,1696148972,"0","0"
2016-04-21 23:00:00,1886030735,"0","0"
2016-04-22 00:00:00,1621180052,"0","0"
2016-04-22 01:00:00,1472458999,"0","0"
2016-04-22 02:00:00,1390233371,"0","0"
2016-04-22 03:00:00,1303199459,"0","0"
2016-04-22 04:00:00,1186349422,"0","0"
2016-04-22 05:00:00,1151673244,"0","0"
2016-04-22 06:00:00,1155383034,"0","0"
2016-04-22 07:00:00,1157470275,"0","0"
2016-04-22 08:00:00,1152251696,"0","0"
2016-04-22 09:00:00,1259261443,"0","0"
2016-04-22 10:00:00,1437903832,"0","0"
2016-04-22 11:00:00,1495213866,"0","0"
2016-04-22 12:00:00,1466912117,"0","0"
2016-04-22 13:00:00,1484301567,"0","0"
2016-04-22 14:00:00,1551993584,"0","0"
2016-04-22 15:00:00,1612411354,"0","0"
2016-04-22 16:00:00,1590606906,"0","0"
2016-04-22 17:00:00,1536561260,"0","0"
2016-04-22 18:00:00,1632007167,"0","0"
2016-04-22 19:00:00,1685002336,"0","0"
2016-04-22 20:00:00,1731511574,"0","0"
2016-04-22 21:00:00,1804712932,"0","0"
2016-04-22 22:00:00,1734498529,"0","0"
2016-04-22 23:00:00,1870829808,"0","0"
2016-04-23 00:00:00,1659727900,"0","0"
2016-04-23 01:00:00,1529248886,"0","0"
2016-04-23 02:00:00,1460627478,"0","0"
2016-04-23 03:00:00,1372397526,"0","0"
2016-04-23 04:00:00,1248679523,"0","0"
2016-04-23 05:00:00,1148318048,"0","0"
2016-04-23 06:00:00,1205960609,"0","0"
2016-04-23 07:00:00,1249125498,"0","0"
2016-04-23 08:00:00,1271051896,"0","0"
2016-04-23 09:00:00,1322024327,"0","0"
2016-04-23 10:00:00,1499387155,"0","0"
2016-04-23 11:00:00,1512505858,"0","0"
2016-04-23 12:00:00,1516595578,"0","0"
2016-04-23 13:00:00,1540223628,"0","0"
2016-04-23 14:00:00,1632260631,"0","0"
2016-04-23 15:00:00,1715477592,"0","0"
2016-04-23 16:00:00,1702783952,"0","0"
2016-04-23 17:00:00,1678058582,"0","0"
2016-04-23 18:00:00,1700006242,"0","0"
2016-04-23 19:00:00,1688898509,"0","0"
2016-04-23 20:00:00,1726778980,"0","0"
2016-04-23 21:00:00,1793154698,"0","0"
2016-04-23 22:00:00,1628119359,"0","0"
2016-04-23 23:00:00,1862355435,"0","0"
2016-04-24 00:00:00,1713213569,"0","0"
2016-04-24 01:00:00,1668541107,"0","0"
2016-04-24 02:00:00,1530000188,"0","0"
2016-04-24 03:00:00,1423358932,"0","0"
2016-04-24 04:00:00,1276608650,"0","0"
2016-04-24 05:00:00,1178928183,"0","0"
2016-04-24 06:00:00,1193199256,"0","0"
2016-04-24 07:00:00,1262773139,"0","0"
2016-04-24 08:00:00,1288697299,"0","0"
2016-04-24 09:00:00,1332043835,"0","0"
2016-04-24 10:00:00,1540185116,"0","0"
2016-04-24 11:00:00,1577758209,"0","0"
2016-04-24 12:00:00,1585335238,"0","0"
2016-04-24 13:00:00,1602675784,"0","0"
2016-04-24 14:00:00,1693397129,"0","0"
2016-04-24 15:00:00,1800641275,"0","0"
2016-04-24 16:00:00,1774019071,"0","0"
2016-04-24 17:00:00,1763427431,"0","0"
2016-04-24 18:00:00,1785452248,"1","0"
2016-04-24 19:00:00,1645154265,"2","0"
2016-04-24 20:00:00,1577696472,"3","0"
2016-04-24 21:00:00,1835088993,"0","0"
2016-04-24 22:00:00,1624382248,"0","0"
2016-04-24 23:00:00,1832682614,"0","0"
2016-04-25 00:00:00,1626074299,"0","0"
2016-04-25 01:00:00,1474702810,"0","0"
2016-04-25 02:00:00,1374359927,"0","0"
2016-04-25 03:00:00,1299731507,"0","0"
2016-04-25 04:00:00,1240633280,"0","0"
2016-04-25 05:00:00,1069526453,"0","0"
2016-04-25 06:00:00,1098318566,"0","0"
2016-04-25 07:00:00,1147519353,"0","0"
2016-04-25 08:00:00,1161556045,"0","0"
2016-04-25 09:00:00,1233013871,"0","0"
2016-04-25 10:00:00,1427467276,"0","0"
2016-04-25 11:00:00,1470346038,"0","0"
2016-04-25 12:00:00,1476518340,"0","0"
2016-04-25 13:00:00,1494095361,"0","0"
2016-04-25 14:00:00,1535673705,"0","0"
2016-04-25 15:00:00,1576570062,"0","0"
2016-04-25 16:00:00,1606149706,"0","0"
2016-04-25 17:00:00,1578154437,"0","0"
2016-04-25 18:00:00,1634336463,"0","0"
2016-04-25 19:00:00,1682361296,"0","0"
2016-04-25 20:00:00,1762016915,"0","0"
2016-04-25 21:00:00,1878097039,"0","0"
2016-04-25 22:00:00,1669849701,"0","0"
2016-04-25 23:00:00,1866194514,"0","0"
2016-04-26 00:00:00,1612935975,"0","0"
2016-04-26 01:00:00,1470687349,"0","0"
2016-04-26 02:00:00,1369444893,"0","0"
2016-04-26 03:00:00,1275278879,"0","0"
2016-04-26 04:00:00,1203783134,"0","0"
2016-04-26 05:00:00,1093214596,"0","0"
2016-04-26 06:00:00,1151855974,"0","0"
2016-04-26 07:00:00,1181332579,"0","0"
2016-04-26 08:00:00,1187166198,"0","0"
2016-04-26 09:00:00,1265092260,"0","0"
2016-04-26 10:00:00,1407237202,"0","0"
2016-04-26 11:00:00,1453533838,"0","0"
2016-04-26 12:00:00,1458122427,"0","0"
2016-04-26 13:00:00,1453515519,"0","0"
2016-04-26 14:00:00,1523139529,"0","0"
2016-04-26 15:00:00,1570697335,"0","0"
2016-04-26 16:00:00,1589996905,"0","0"
2016-04-26 17:00:00,1557507771,"0","0"
2016-04-26 18:00:00,1619160503,"0","0"
2016-04-26 19:00:00,1666170391,"0","0"
2016-04-26 20:00:00,1732145874,"0","0"
2016-04-26 21:00:00,1834333217,"0","0"
2016-04-26 22:00:00,1646896694,"0","0"
2016-04-26 23:00:00,1838519928,"0","0"
2016-04-27 00:00:00,1631158635,"0","0"
2016-04-27 01:00:00,1479227349,"0","0"
2016-04-27 02:00:00,1399509028,"0","0"
2016-04-27 03:00:00,1336012283,"0","0"
2016-04-27 04:00:00,1117758914,"0","0"
2016-04-27 05:00:00,4995165,"0","1"
2016-04-27 06:00:00,0,"0","2"
2016-04-27 07:00:00,0,"0","3"
2016-04-27 08:00:00,3513371,"0","2"
2016-04-27 09:00:00,637602893,"0","5"
2016-04-27 10:00:00,1243995778,"0","6"
2016-04-27 11:00:00,1509250550,"0","0"
2016-04-27 12:00:00,1618845764,"0","0"
2016-04-27 13:00:00,1653278207,"0","0"
2016-04-27 14:00:00,1691020238,"0","0"
2016-04-27 15:00:00,1711608872,"0","0"
2016-04-27 16:00:00,1742640449,"0","0"
2016-04-27 17:00:00,1694582613,"0","0"
2016-04-27 18:00:00,1768588745,"0","0"
2016-04-27 19:00:00,1895608294,"0","0"
2016-04-27 20:00:00,1969796401,"0","0"
2016-04-27 21:00:00,2023673571,"0","0"
2016-04-27 22:00:00,1741321553,"0","0"
2016-04-27 23:00:00,1953134133,"0","0"
2016-04-28 00:00:00,1653115989,"0","0"
2016-04-28 01:00:00,1500381791,"0","0"
2016-04-28 02:00:00,1413273901,"0","0"
2016-04-28 03:00:00,1331996622,"0","0"
2016-04-28 04:00:00,1213058083,"0","0"
2016-04-28 05:00:00,1110490682,"0","0"
2016-04-28 06:00:00,1154489120,"0","0"
2016-04-28 07:00:00,1161628772,"0","0"
2016-04-28 08:00:00,1144773175,"0","0"
2016-04-28 09:00:00,1405910452,"0","0"
2016-04-28 10:00:00,1629668389,"0","0"
2016-04-28 11:00:00,1620629225,"0","0"
2016-04-28 12:00:00,1572664983,"0","0"
2016-04-28 13:00:00,1582585862,"0","0"
2016-04-28 14:00:00,1637667884,"0","0"
2016-04-28 15:00:00,1678711130,"0","0"
2016-04-28 16:00:00,1658186129,"0","0"
2016-04-28 17:00:00,1615349828,"0","0"
2016-04-28 18:00:00,1733334124,"0","0"
2016-04-28 19:00:00,1817768065,"0","0"
2016-04-28 20:00:00,1889209662,"0","0"
2016-04-28 21:00:00,1998899214,"0","0"
2016-04-28 22:00:00,1737514613,"0","0"
2016-04-28 23:00:00,1930205623,"0","0"
